id,category_id,name,slug,brand,description
1,2,Офисный моноблок OfficePlus 22 дюйма i5/8gb/512 ssd msata,,OfficePlus,"Новые и стильные моноблоки 2023 года выпуска. Подойдут для работы из дома и офисных задач.
Занимает минимальное количество рабочего пространства и имеет все необходимое для работы"
2,2,"Моноблок All In One PC - PZF 22"", Intel Core i5-3470 (3.2 ГГц), RAM 8 ГБ, SSD 250, Intel HD Graphics, Windows 10 Pro",,PZF ,"Моноблок All In One PC - PZF с диагональю 22 дюйма работает на базе 4х-ядерного процессора Intel Core-i5 с тактовой частотой 3.2ГГц и графического процессора Inte HD Graphics. Разрешение экрана 1920*1080, IPS матрица. Оперативная память 8Гб, тип DDR3. SSD-накопитель 250 Гб. Встроенный модуль Wi-Fi и Bluetooth 5.0. 6 портов USB 2.0, 1 порт HDMI, 1 разъем RJ45, 1 VGA. Есть 2 разъема 3.5 мм для микрофона и динамиков. Операционная система Windows 10 pro. Беспроводная русскоязычная клавиатура и мышь в комплекте."
3,2,"23.5"" Моноблок Apple iMac 24"" Z12S000BJ, 4480x2520, Apple M1 2.064 ГГц, RAM 8 ГБ, SSD 256 ГБ, Apple M1 8-Core, MacOS, желтый",,Apple,"Новый iMac 24 оснащен новейшим чипом М1 и мощной операционной системой macOS Big Sur, что делает его очень производительным, эффективным в работе и безопасным устройством. Модель за доли секунды выходит из спящего режима, может обрабатывать множество операций одновременно и имеет очень быстрый отклик на запросы. При любой нагрузке iMac работает тихо, корпус его не нагревается, в этом также есть заслуга новейшего чипа М1."
4,2,"27"" Моноблок HP 27-cb1088ci (6C913EA) 6C913EA, 1920x1080, AMD Ryzen 3 5425U 2.7 ГГц, RAM 8 ГБ, SSD 256 ГБ, AMD Radeon Graphics, DOS, черный",,HP,
5,2,"21.5"" Моноблок ASUS M3200 1920x1080, AMD Ryzen 3 5300U 2.6 ГГц, RAM 8 ГБ, SSD 256 ГБ, AMD Radeon RX Vega 6, ОС не установлена, белый",,ASUS,
6,4,"Видеокарта GIGABYTE GeForce RTX 3060 GAMING OC 12G (GV-N3060GAMING OC-12GD) (rev. 2.0), Retail",,GIGABYTE,Видеокарта Gigabyte GeForce RTX 3060 Gaming OC Rev2.0 гарантирует возможность комфортного использования большинства видеоигр. Главный компонент видеоадаптера – видеопроцессор NVIDIA GeForce RTX 3060. Устройство не располагает поддержкой мультипроцессорной конфигурации.
7,4,Видеокарта Gigabyte RTX4060 GAMING OC 8GB GDDR6 128-bit DPx2 HDMIx2 3FAN RTL,,GIGABYTE,"Видеокарта Gigabyte RTX4060 GAMING OC 8GB GDDR6 128-bit DPx2 HDMIx2 3FAN RTL Прогрессивная микроархитектура Ada Lovelace, фирменная технология NVIDIA DLSS 3 и полноценная реализация трасировки лучей Тензорные ядра 4-поколения: прирост производительности с DLSS 3 до 4x (по сравнению с типовой процедурой рендеринга сцены) RT-ядра 3-поколения: 2-кратный прирост производительности на операциях трассировки лучей Работает на базе GeForce RTX 4060 Интегрирован со 128-битным интерфейсом памяти 8GB GDDR6 Система охлаждения WINDFORCE Фирменная функция RGB Fusion Технология Dual BIOS Защитная металлическая пластина."
8,4,Видеокарта ASUS ROG Strix GeForce RTX 4090 OC 24G,,ASUS,
9,4,"Видеокарта MSI GeForce RTX 3080 SUPRIM X 10G, Retail",,MSI,"Используя графический процессор с микроархитектурой Ampere, представляющей второе поколение чипов NVIDIA RTX™, видеокарта GeForce RTX™ 3080 готова обеспечить беспрецедентную игровую производительность за счет улучшенных вычислительных блоков и супербыстрой памяти GDDR6X."
10,5,"Процессор Intel Core i7-13700K LGA1700, 16 x 3400 МГц, BOX",,Intel,
11,5,"Процессор Intel Core i7-12700K LGA1700, 12 x 3600 МГц, OEM",,Intel,
12,5,"Процессор Intel Core i5-13600K LGA1700, 14 x 3500 МГц, OEM",,Intel,
13,5,"Процессор AMD Ryzen 7 7700X AM5, 8 x 4500 МГц, OEM",,AMD,
14,5,"Процессор AMD Ryzen 9 7900X AM5, 12 x 4700 МГц, BOX",,AMD,
15,5,"Процессор AMD Ryzen 9 5900X AM4, 12 x 3700 МГц, BOX",,AMD,
16,6,Материнская плата ASUS TUF GAMING X670E-PLUS WIFI,,ASUS,"Материнская плата серии TUF GAMING X670E-PLUS WIFI - это полноценная геймерская платформа, насыщенная полезной функциональностью, включающей в себя скоростной сетевой интерфейс для комфортной игры через интернет и высококачественную встроенную аудиосистему со специальным ""радаром"", который помогает определять положение источников звука в шутерах."
17,6,Материнская плата ASUS PRIME Z790M-PLUS D4,,ASUS,
18,6,Материнская плата ASUS ROG STRIX Z690-A GAMING WiFi D4,,ASUS,"Материнская плата ROG Strix Z690-A Gaming WiFi D4 обладает множеством достоинств, которые облегчают сборку и настройку высокопроизводительного игрового компьютера. Мощная система питания с эффективным охлаждением позволит раскрыть весь потенциал процессоров Intel Core 12-го поколения. Слоты M.2, работающие в режиме PCIe 4.0, готовы принять передовые твердотельные накопители. Встроенный контроллер Wi-Fi 6 гарантирует скоростное подключение к беспроводным сетям, а эксклюзивные интеллектуальные разработки ASUS помогут оптимизировать работу каждого компонента. Все это дополнено красочной подсветкой с гибкой регулировкой визуальных эффектов."
19,6,Материнская плата MSI X670 WIFI,,MSI,
20,10,"Смартфон Apple iPhone 14 Pro, Dual: nano SIM + eSIM",,Apple,"Новый волшебный способ взаимодействия с iPhone. Новаторские функции безопасности, призванные спасать жизни.
Инновационная 48-мегапиксельная камера для потрясающей детализации.
Все они оснащены новейшим чипом для смартфонов.
С керамическим экраном, более прочным, чем стекло любого смартфона. Водонепроницаемость. Нержавеющая сталь хирургического класса."
21,10,"Смартфон Apple iPhone 14 Pro Max, Dual: nano SIM + eSIM",,Apple,"Новый волшебный способ взаимодействия с iPhone. Новаторские функции безопасности, призванные спасать жизни.
Инновационная 48-мегапиксельная камера для потрясающей детализации.
Все они оснащены новейшим чипом для смартфонов.
С керамическим экраном, более прочным, чем стекло любого смартфона. Водонепроницаемость. Нержавеющая сталь хирургического класса."
22,10,"Смартфон Samsung Galaxy S23 Ultra, Dual: nano SIM + eSIM",,Samsung,С новым Galaxy S23 Ultra каждый кадр – шедевр благодаря совершенно новому уровню четкости фото и видео в условиях слабой освещенности и невероятной детализации снимков на камеру 200МП. Самый мощный процессор в смартфоне Galaxy справится с задачами любой сложности: скорость – его стихия.
23,10,"Смартфон HONOR X6, Dual nano SIM",,HONOR,