id,product_item_id,product_attribute_value_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,2,1
9,2,2
10,2,3
11,2,4
12,2,5
13,2,6
14,2,7
15,3,1
16,3,2
17,3,3
18,3,5
19,3,6
20,3,7
21,4,1
22,4,2
23,4,3
24,4,4
25,4,5
26,4,6
27,4,7
28,5,1
29,5,2
30,5,3
31,5,4
32,5,5
33,5,6
34,5,7
35,6,8
36,6,9
37,6,10
38,6,11
39,6,13
40,6,16
41,6,14
42,7,8
43,7,9
44,7,11
45,7,13
46,7,15
47,7,14
48,8,8
49,8,9
50,8,10
51,8,11
52,8,12
53,8,13
54,8,14
55,9,8
56,9,9
57,9,10
58,9,11
59,9,12
60,9,13
61,9,14
62,10,17
63,10,18
64,10,19
65,10,20
66,10,21
67,10,22
68,10,23
69,10,24
70,11,17
71,11,18
72,11,19
73,11,20
74,11,21
75,11,22
76,11,23
77,11,24
78,12,17
79,12,18
80,12,19
81,12,20
82,12,21
83,12,22
84,12,23
85,12,24
86,13,17
87,13,18
88,13,19
89,13,20
90,13,21
91,13,22
92,13,23
93,13,24
94,14,17
95,14,18
96,14,19
97,14,20
98,14,21
99,14,22
100,14,23
101,14,24
102,15,17
103,15,18
104,15,19
105,15,20
106,15,21
107,15,22
108,15,23
109,15,24
110,16,25
111,16,26
112,16,27
113,16,28
114,16,29
115,16,30
116,16,31
117,16,32
118,17,25
119,17,26
120,17,27
121,17,28
122,17,29
123,17,30
124,17,31
125,17,32
126,18,25
127,18,26
128,18,27
129,18,28
130,18,29
131,18,30
132,18,31
133,18,32
134,19,25
135,19,26
136,19,27
137,19,28
138,19,29
139,19,30
140,19,31
141,19,32
142,20,33
143,20,34
144,20,35
145,20,36
146,20,37
147,20,38
148,20,39
149,20,40
150,21,33
151,21,34
152,21,35
153,21,36
154,21,37
155,21,38
156,21,39
157,21,40
158,22,33
159,22,34
160,22,35
161,22,36
162,22,37
163,22,38
164,22,39
165,22,40
166,23,33
167,23,34
168,23,35
169,23,36
170,23,37
171,23,38
172,23,39
173,23,40
174,24,33
175,24,34
176,24,35
177,24,36
178,24,37
179,24,38
180,24,39
181,24,40
182,25,33
183,25,34
184,25,35
185,25,36
186,25,37
187,25,38
188,25,39
189,25,40
190,26,33
191,26,34
192,26,35
193,26,36
194,26,37
195,26,38
196,26,39
197,26,40
198,27,33
199,27,34
200,27,35
201,27,36
202,27,37
203,27,38
204,27,39
205,27,40
206,28,33
207,28,34
208,28,35
209,28,36
210,28,37
211,28,38
212,28,39
213,28,40
214,29,33
215,29,34
216,29,35
217,29,36
218,29,37
219,29,38
220,29,39
221,29,40
222,30,33
223,30,34
224,30,35
225,30,36
226,30,37
227,30,38
228,30,39
229,30,40
230,31,33
231,31,34
232,31,35
233,31,36
234,31,37
235,31,38
236,31,39
237,31,40
238,32,33
239,32,34
240,32,35
241,32,36
242,32,37
243,32,38
244,32,39
245,32,40
246,33,33
247,33,34
248,33,35
249,33,36
250,33,37
251,33,38
252,33,39
253,33,40
254,34,33
255,34,34
256,34,35
257,34,36
258,34,37
259,34,38
260,34,39
261,34,40
262,35,33
263,35,34
264,35,35
265,35,36
266,35,37
267,35,38
268,35,39
269,35,40